taxon_id,organism,taxonomy_name,source_clade,source_clade_taxon_id,species_category,category_basis_taxon_id,taxonomy_release,source_url,audited_on
7792,Heterodontus francisci,Heterodontus francisci,Chondrichthyes,7777,fish,7777,2026_03,https://rest.uniprot.org/taxonomy/7792,2026-09-03
7797,Squalus acanthias,Squalus acanthias,Chondrichthyes,7777,fish,7777,2026_03,https://rest.uniprot.org/taxonomy/7797,2026-09-03
7801,Ginglymostoma cirratum,Ginglymostoma cirratum,Chondrichthyes,7777,fish,7777,2026_03,https://rest.uniprot.org/taxonomy/7801,2026-09-03
7868,Callorhinchus milii,Callorhinchus milii,Chondrichthyes,7777,fish,7777,2026_03,https://rest.uniprot.org/taxonomy/7868,2026-09-03
7918,Lepisosteus oculatus,Lepisosteus oculatus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/7918,2026-09-03
7937,Anguilla japonica,Anguilla japonica,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/7937,2026-09-03
7950,Clupea harengus,Clupea harengus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/7950,2026-09-03
7955,Danio rerio,Danio rerio,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/7955,2026-09-03
7957,Carassius auratus,Carassius auratus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/7957,2026-09-03
7962,Cyprinus carpio,Cyprinus carpio,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/7962,2026-09-03
7994,Astyanax mexicanus,Astyanax mexicanus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/7994,2026-09-03
7998,Ictalurus punctatus,Ictalurus punctatus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/7998,2026-09-03
8010,Esox lucius,Esox lucius,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8010,2026-09-03
8019,Oncorhynchus kisutch,Oncorhynchus kisutch,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8019,2026-09-03
8022,Oncorhynchus mykiss,Oncorhynchus mykiss,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8022,2026-09-03
8030,Salmo salar,Salmo salar,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8030,2026-09-03
8032,Salmo trutta,Salmo trutta,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8032,2026-09-03
8040,Salvelinus namaycush,Salvelinus namaycush,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8040,2026-09-03
8049,Gadus morhua,Gadus morhua,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8049,2026-09-03
8078,Fundulus heteroclitus,Fundulus heteroclitus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8078,2026-09-03
8083,Xiphophorus maculatus,Xiphophorus maculatus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8083,2026-09-03
8090,Oryzias latipes,Oryzias latipes,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8090,2026-09-03
8103,Cyclopterus lumpus,Cyclopterus lumpus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8103,2026-09-03
8128,Oreochromis niloticus,Oreochromis niloticus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8128,2026-09-03
8153,Haplochromis burtoni,Haplochromis burtoni,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8153,2026-09-03
8175,Sparus aurata,Sparus aurata,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8175,2026-09-03
8187,Lates calcarifer,Lates calcarifer,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8187,2026-09-03
8255,Paralichthys olivaceus,Paralichthys olivaceus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/8255,2026-09-03
8296,Ambystoma mexicanum,Ambystoma mexicanum,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/8296,2026-09-03
8305,Ambystoma tigrinum,Ambystoma tigrinum,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/8305,2026-09-03
8319,Pleurodeles waltl,Pleurodeles waltl,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/8319,2026-09-03
8324,Lissotriton vulgaris,Lissotriton vulgaris,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/8324,2026-09-03
8355,Xenopus laevis,Xenopus laevis,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/8355,2026-09-03
8359,Xenopus laevis/gilli,Xenopus laevis/gilli,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/8359,2026-09-03
8364,Xenopus tropicalis,Xenopus tropicalis,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/8364,2026-09-03
8386,Rhinella marina,Rhinella marina,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/8386,2026-09-03
8400,Aquarana catesbeiana,Aquarana catesbeiana,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/8400,2026-09-03
8402,Rana japonica,Rana japonica,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/8402,2026-09-03
8404,Lithobates pipiens,Lithobates pipiens,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/8404,2026-09-03
8508,Sphenodon punctatus,Sphenodon punctatus,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/8508,2026-09-03
8517,Iguana iguana,Iguana iguana,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/8517,2026-09-03
8527,Tiliqua rugosa,Tiliqua rugosa,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/8527,2026-09-03
8630,Laticauda laticaudata,Laticauda laticaudata,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/8630,2026-09-03
8663,Notechis scutatus,Notechis scutatus,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/8663,2026-09-03
8665,Ophiophagus hannah,Ophiophagus hannah,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/8665,2026-09-03
8673,Pseudonaja textilis,Pseudonaja textilis,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/8673,2026-09-03
8729,Crotalus adamanteus,Crotalus adamanteus,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/8729,2026-09-03
8790,Dromaius novaehollandiae,Dromaius novaehollandiae,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/8790,2026-09-03
8824,Apteryx owenii,Apteryx owenii,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/8824,2026-09-03
8839,Anas platyrhynchos,Anas platyrhynchos,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/8839,2026-09-03
8840,Anas platyrhynchos platyrhynchos,Anas platyrhynchos platyrhynchos,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/8840,2026-09-03
8843,Anser anser,Anser anser,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/8843,2026-09-03
8855,Cairina moschata,Cairina moschata,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/8855,2026-09-03
8932,Columba livia,Columba livia,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/8932,2026-09-03
9004,Tympanuchus cupido,Tympanuchus cupido,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/9004,2026-09-03
9031,Gallus gallus,Gallus gallus,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/9031,2026-09-03
9054,Phasianus colchicus,Phasianus colchicus,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/9054,2026-09-03
9083,Bambusicola thoracicus,Bambusicola thoracicus,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/9083,2026-09-03
