species,legacy_prefix,status,row_count,source_attested_row_count,evidence,example_accessions,example_source_labels
Danio rerio,Dare,external_registry_or_literature,21,2,https://pubmed.ncbi.nlm.nih.gov/18439319/,A0AB13A9E5;A0AC58HZ21,mhc1uka Dare-UCA mhc1uca si:ch73-213j4.4 UCA zgc:153728 Major histocompatibility complex class I UKA isoform 1 precursor;mhc1uka Dare-UCA mhc1uca si:ch73-213j4.4 UCA zgc:153728 Major histocompatibility complex class I UKA isoform X1
Gallus gallus,Gaga,external_registry_or_literature,555,0,https://www.ebi.ac.uk/ipd/mhc/group/CHICKEN/species/,,
Mus musculus,H2,external_registry_or_literature,742,0,https://www.informatics.jax.org/downloads/datasets/misc/H2Haplotypes/H2_haplotypes.html,,
Oryctolagus cuniculus,RLA,external_registry_or_literature,75,0,https://pubmed.ncbi.nlm.nih.gov/32522857/,,
Rattus norvegicus,RT1,external_registry_or_literature,205,0,https://www.ebi.ac.uk/ipd/mhc/,,
Rattus norvegicus,Rt1,external_registry_or_literature,1,0,https://www.ebi.ac.uk/ipd/mhc/,,
Rattus norvegicus,rt1,external_registry_or_literature,9,0,https://www.ebi.ac.uk/ipd/mhc/,,
Abramis brama,Abbr,external_uniprot_label,64,23,https://rest.uniprot.org/uniprotkb/A0A8E5GK18;https://rest.uniprot.org/uniprotkb/A0A8E5GK38;https://rest.uniprot.org/uniprotkb/A0A8E5GK40,A0A8E5GK18;A0A8E5GK38;A0A8E5GK40,Abbr-DAB3 MHC class II antigen;Abbr-DAB1 MHC class II antigen
Abramis brama,Arbr,external_uniprot_label,1,1,https://rest.uniprot.org/uniprotkb/A0A8E5GKZ6,A0A8E5GKZ6,Arbr-DAB1 MHC class II antigen
Acipenser dabryanus,Acda,external_uniprot_label,53,53,https://rest.uniprot.org/uniprotkb/A0A5J6DDJ2;https://rest.uniprot.org/uniprotkb/A0A5J6DDJ4;https://rest.uniprot.org/uniprotkb/A0A5J6DDK3,A0A5J6DDJ2;A0A5J6DDJ4;A0A5J6DDK3,Acda-UAA MHC class I alpha antigen;Acda-DAA MHC class II alpha antigen;Acda-DAB MHC class II beta antigen
Acipenser sinensis,Acsi,external_uniprot_label,11,11,https://rest.uniprot.org/uniprotkb/E0X5M3;https://rest.uniprot.org/uniprotkb/E0X5M4;https://rest.uniprot.org/uniprotkb/E0X5M5,E0X5M3;E0X5M4;E0X5M5,Acsi-UBA MHC class Ia chain
Acrocephalus arundinaceus,Acar,external_uniprot_label,437,437,https://rest.uniprot.org/uniprotkb/A0A0S2N005;https://rest.uniprot.org/uniprotkb/A0A0S2N008;https://rest.uniprot.org/uniprotkb/A0A0S2N010,A0A0S2N005;A0A0S2N008;A0A0S2N010,Acar-UA MHC class I antigen
Acrocephalus arundinaceus,Acaru,external_uniprot_label,2,2,https://rest.uniprot.org/uniprotkb/Q7YP77;https://rest.uniprot.org/uniprotkb/Q7YP78,Q7YP77;Q7YP78,Acaru-UA MHC class I antigen
Acrocephalus schoenobaenus,Acsc,external_uniprot_label,3145,3145,https://rest.uniprot.org/uniprotkb/A0A0K0PE26;https://rest.uniprot.org/uniprotkb/A0A0K0PET5;https://rest.uniprot.org/uniprotkb/A0A0K0PF00,A0A0K0PE26;A0A0K0PET5;A0A0K0PF00,Acsc-UA MHC class I antigen
Acrocephalus scirpaceus,Acsci,external_uniprot_label,62,62,https://rest.uniprot.org/uniprotkb/A0A0S2MYP1;https://rest.uniprot.org/uniprotkb/A0A0S2MYP9;https://rest.uniprot.org/uniprotkb/A0A0S2MYQ1,A0A0S2MYP1;A0A0S2MYP9;A0A0S2MYQ1,Acsci-UA MHC class I antigen
Aegolius funereus,Aefu,external_uniprot_label,2,2,https://rest.uniprot.org/uniprotkb/B3F8W4;https://rest.uniprot.org/uniprotkb/B3F8W5,B3F8W4;B3F8W5,Aefu-DAB2 MHC class II antigen beta;Aefu-DAB1 MHC class II antigen beta
Aegypius monachus,Aemo,external_uniprot_label,1,1,https://rest.uniprot.org/uniprotkb/A9LDM7,A9LDM7,Aemo-DRB MHC class II antigen beta
Agalychnis callidryas,Agca,external_uniprot_label,19,19,https://rest.uniprot.org/uniprotkb/I6PNB5;https://rest.uniprot.org/uniprotkb/I6PNB7;https://rest.uniprot.org/uniprotkb/I6PNB9,I6PNB5;I6PNB7;I6PNB9,Agca-UA MHC class Ia alpha antigen
Agelaius phoeniceus,Agph,external_uniprot_label,22,20,https://rest.uniprot.org/uniprotkb/O46804;https://rest.uniprot.org/uniprotkb/O46805;https://rest.uniprot.org/uniprotkb/O46806,O46804;O46805;O46806,Agph-DAB1 MHC class II B;Agph-DAB3 MHC class II B antigen;Agph-DAB MHC class II antigen
Alauda razae,Alra,external_uniprot_label,24,24,https://rest.uniprot.org/uniprotkb/A0A6M6C8U2;https://rest.uniprot.org/uniprotkb/A0A6M6C8W6;https://rest.uniprot.org/uniprotkb/A0A6M6CA79,A0A6M6C8U2;A0A6M6C8W6;A0A6M6CA79,Alra-UA MHC class I antigen
Amblyrhynchus cristatus,Amcr,external_uniprot_label,15,15,https://rest.uniprot.org/uniprotkb/B3UZY4;https://rest.uniprot.org/uniprotkb/B3UZY5;https://rest.uniprot.org/uniprotkb/B3UZY6,B3UZY4;B3UZY5;B3UZY6,Amcr-UB MHC class I antigen;Amcr-UA MHC class I antigen;Amcr-DAB1 MHC class II antigen beta chain
Ambystoma mexicanum,Amme,external_uniprot_label,5,5,https://rest.uniprot.org/uniprotkb/Q9GIJ2;https://rest.uniprot.org/uniprotkb/Q9GIP7;https://rest.uniprot.org/uniprotkb/Q9GIP8,Q9GIJ2;Q9GIP7;Q9GIP8,Amme-DAB MHC class II beta chain isoform mB1;Amme-DAB MHC class II beta chain;Amme-DAB MHC class II truncated beta chain
Ambystoma mexicanum,Anme,external_uniprot_label,5,5,https://rest.uniprot.org/uniprotkb/A5JVU8;https://rest.uniprot.org/uniprotkb/A5JVU9;https://rest.uniprot.org/uniprotkb/A5JVV0,A5JVU8;A5JVU9;A5JVV0,Anme-DAB MHC class II antigen
Ambystoma tigrinum,Amti,external_uniprot_label,13,13,https://rest.uniprot.org/uniprotkb/Q0ZUB9;https://rest.uniprot.org/uniprotkb/Q0ZUC0;https://rest.uniprot.org/uniprotkb/Q0ZUC1,Q0ZUB9;Q0ZUC0;Q0ZUC1,Amti-DAB MHC class II antigen beta chain;Amti-DAB MHC class II antigen
Amphilophus citrinellus,Amci,external_uniprot_label,76,76,https://rest.uniprot.org/uniprotkb/A0A1S6K7L2;https://rest.uniprot.org/uniprotkb/A0A1S6K7L3;https://rest.uniprot.org/uniprotkb/A0A1S6K7L4,A0A1S6K7L2;A0A1S6K7L3;A0A1S6K7L4,Amci-DXB MHC class II beta antigen;Amci-DXB MHC class IIB antigen
