species,prefix,scope,status,evidence,notes
Abramis brama,Abbr,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A8E5GK18;https://rest.uniprot.org/uniprotkb/A0A8E5GK38;https://rest.uniprot.org/uniprotkb/A0A8E5GK40,attested in the retained source label for A0A8E5GK18;A0A8E5GK38;A0A8E5GK40
Abramis brama,Arbr,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A8E5GKZ6,attested in the retained source label for A0A8E5GKZ6
Acipenser dabryanus,Acda,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A5J6DDJ2;https://rest.uniprot.org/uniprotkb/A0A5J6DDJ4;https://rest.uniprot.org/uniprotkb/A0A5J6DDK3,attested in the retained source label for A0A5J6DDJ2;A0A5J6DDJ4;A0A5J6DDK3
Acipenser sinensis,Acsi,exact,external_database,https://rest.uniprot.org/uniprotkb/E0X5M3;https://rest.uniprot.org/uniprotkb/E0X5M4;https://rest.uniprot.org/uniprotkb/E0X5M5,attested in the retained source label for E0X5M3;E0X5M4;E0X5M5
Acrocephalus arundinaceus,Acar,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0S2N005;https://rest.uniprot.org/uniprotkb/A0A0S2N008;https://rest.uniprot.org/uniprotkb/A0A0S2N010,attested in the retained source label for A0A0S2N005;A0A0S2N008;A0A0S2N010
Acrocephalus arundinaceus,Acaru,exact,external_database,https://rest.uniprot.org/uniprotkb/Q7YP77;https://rest.uniprot.org/uniprotkb/Q7YP78,attested in the retained source label for Q7YP77;Q7YP78
Acrocephalus schoenobaenus,Acsc,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0K0PE26;https://rest.uniprot.org/uniprotkb/A0A0K0PET5;https://rest.uniprot.org/uniprotkb/A0A0K0PF00,attested in the retained source label for A0A0K0PE26;A0A0K0PET5;A0A0K0PF00
Acrocephalus scirpaceus,Acsci,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0S2MYP1;https://rest.uniprot.org/uniprotkb/A0A0S2MYP9;https://rest.uniprot.org/uniprotkb/A0A0S2MYQ1,attested in the retained source label for A0A0S2MYP1;A0A0S2MYP9;A0A0S2MYQ1
Aegolius funereus,Aefu,exact,external_database,https://rest.uniprot.org/uniprotkb/B3F8W4;https://rest.uniprot.org/uniprotkb/B3F8W5,attested in the retained source label for B3F8W4;B3F8W5
Aegypius monachus,Aemo,exact,external_database,https://rest.uniprot.org/uniprotkb/A9LDM7,attested in the retained source label for A9LDM7
Agalychnis callidryas,Agca,exact,external_database,https://rest.uniprot.org/uniprotkb/I6PNB5;https://rest.uniprot.org/uniprotkb/I6PNB7;https://rest.uniprot.org/uniprotkb/I6PNB9,attested in the retained source label for I6PNB5;I6PNB7;I6PNB9
Agelaius phoeniceus,Agph,exact,external_database,https://rest.uniprot.org/uniprotkb/O46804;https://rest.uniprot.org/uniprotkb/O46805;https://rest.uniprot.org/uniprotkb/O46806,attested in the retained source label for O46804;O46805;O46806
Alauda razae,Alra,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A6M6C8U2;https://rest.uniprot.org/uniprotkb/A0A6M6C8W6;https://rest.uniprot.org/uniprotkb/A0A6M6CA79,attested in the retained source label for A0A6M6C8U2;A0A6M6C8W6;A0A6M6CA79
Alouatta pigra,Alpi,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Non-Human Primates; taxon=182253; designation=Alpi
Amblyrhynchus cristatus,Amcr,exact,external_database,https://rest.uniprot.org/uniprotkb/B3UZY4;https://rest.uniprot.org/uniprotkb/B3UZY5;https://rest.uniprot.org/uniprotkb/B3UZY6,attested in the retained source label for B3UZY4;B3UZY5;B3UZY6
Ambystoma mexicanum,Amme,exact,external_database,https://rest.uniprot.org/uniprotkb/Q9GIJ2;https://rest.uniprot.org/uniprotkb/Q9GIP7;https://rest.uniprot.org/uniprotkb/Q9GIP8,attested in the retained source label for Q9GIJ2;Q9GIP7;Q9GIP8
Ambystoma mexicanum,Anme,exact,external_database,https://rest.uniprot.org/uniprotkb/A5JVU8;https://rest.uniprot.org/uniprotkb/A5JVU9;https://rest.uniprot.org/uniprotkb/A5JVV0,attested in the retained source label for A5JVU8;A5JVU9;A5JVV0
Ambystoma tigrinum,Amti,exact,external_database,https://rest.uniprot.org/uniprotkb/Q0ZUB9;https://rest.uniprot.org/uniprotkb/Q0ZUC0;https://rest.uniprot.org/uniprotkb/Q0ZUC1,attested in the retained source label for Q0ZUB9;Q0ZUC0;Q0ZUC1
Amphilophus citrinellus,Amci,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A1S6K7L2;https://rest.uniprot.org/uniprotkb/A0A1S6K7L3;https://rest.uniprot.org/uniprotkb/A0A1S6K7L4,attested in the retained source label for A0A1S6K7L2;A0A1S6K7L3;A0A1S6K7L4
Anarhynchus nivosus,Chni,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A7M3UR59;https://rest.uniprot.org/uniprotkb/A0A7M3UR60;https://rest.uniprot.org/uniprotkb/A0A7M3UR61,attested in the retained source label for A0A7M3UR59;A0A7M3UR60;A0A7M3UR61
Anas platyrhynchos,Anpl,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A1L5SLP1;https://rest.uniprot.org/uniprotkb/A0A1L5SLP6;https://rest.uniprot.org/uniprotkb/A0A1L5SLQ3,attested in the retained source label for A0A1L5SLP1;A0A1L5SLP6;A0A1L5SLQ3
Andrias davidianus,Anda,exact,external_database,https://rest.uniprot.org/uniprotkb/U5QAM4;https://rest.uniprot.org/uniprotkb/U5QAM9;https://rest.uniprot.org/uniprotkb/U5QAN4,attested in the retained source label for U5QAM4;U5QAM9;U5QAN4
Anser indicus,Anin,exact,external_database,https://rest.uniprot.org/uniprotkb/E8Z790;https://rest.uniprot.org/uniprotkb/E8Z791;https://rest.uniprot.org/uniprotkb/E8Z792,attested in the retained source label for E8Z790;E8Z791;E8Z792
Anthropoides paradiseus,Grpa,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0P0UVN5;https://rest.uniprot.org/uniprotkb/A0A0P0UW04;https://rest.uniprot.org/uniprotkb/A0A0P0UW15,attested in the retained source label for A0A0P0UVN5;A0A0P0UW04;A0A0P0UW15
Anthropoides virgo,Grvir,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0N7KC06;https://rest.uniprot.org/uniprotkb/A0A0P0UVM3;https://rest.uniprot.org/uniprotkb/A0A0P0UW05,attested in the retained source label for A0A0N7KC06;A0A0P0UVM3;A0A0P0UW05
Antigone antigone,Gran,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0P0UVP7;https://rest.uniprot.org/uniprotkb/A0A0P0UVU8;https://rest.uniprot.org/uniprotkb/A0A0P0UW01,attested in the retained source label for A0A0P0UVP7;A0A0P0UVU8;A0A0P0UW01
