accession,disposition,mhc_class,chain,label_status,evidence,source_version,source_url,audited_on
O95727,exclude_non_mhc,,,excluded_non_mhc,UniProtKB gene CRTAM; InterPro IPR053096; nectin family,UniProtKB entry 176; annotation 2026-09-02,https://rest.uniprot.org/unisave/O95727?format=txt&versions=176,2026-09-02
Q08334,exclude_non_mhc,,,excluded_non_mhc,UniProtKB gene IL10RB; PANTHER PTHR20859:SF50; type II cytokine receptor family,UniProtKB entry 213; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q08334?format=txt&versions=213,2026-09-02
P43626,exclude_non_mhc,,,excluded_non_mhc,UniProtKB gene KIR2DL1; CDD cd05711 KIR-like receptor,UniProtKB entry 210; annotation 2026-09-02,https://rest.uniprot.org/unisave/P43626?format=txt&versions=210,2026-09-02
P43628,exclude_non_mhc,,,excluded_non_mhc,UniProtKB gene KIR2DL3; CDD cd05711 KIR-like receptor,UniProtKB entry 220; annotation 2026-09-02,https://rest.uniprot.org/unisave/P43628?format=txt&versions=220,2026-09-02
Q149L7,exclude_non_mhc,,,excluded_non_mhc,UniProtKB gene Crtam; InterPro IPR053096; nectin family,UniProtKB entry 137; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q149L7?format=txt&versions=137,2026-09-02
Q61190,exclude_non_mhc,,,excluded_non_mhc,UniProtKB gene Il10rb; PANTHER PTHR20859:SF50; type II cytokine receptor family,UniProtKB entry 158; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q61190?format=txt&versions=158,2026-09-02
A8MTL9,exclude_non_mhc,,,excluded_non_mhc,UniProtKB gene HMSD; InterPro IPR000215 serpin family,UniProtKB entry 122; annotation 2026-09-02,https://rest.uniprot.org/unisave/A8MTL9?format=txt&versions=122,2026-09-02
Q6AYB1,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF101;cd21001,UniProtKB entry 181; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q6AYB1?format=txt&versions=181,2026-09-02
A0A023ILS1,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF101;cd21001,UniSave entry 11; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A023ILS1?format=txt&versions=11,2026-09-02
A0A094LX74,exclude_non_mhc,,,excluded_non_mhc,InterPro IPR043530 CD74; MHC-II-associated invariant gamma chain,UniProtKB entry 35; annotation 2025-06-18,https://rest.uniprot.org/unisave/A0A094LX74?format=txt&versions=35,2026-09-02
A0A091UAC5,exclude_non_mhc,,,excluded_non_mhc,InterPro IPR043530 CD74; MHC-II-associated invariant gamma chain,UniProtKB entry 36; annotation 2026-01-28,https://rest.uniprot.org/unisave/A0A091UAC5?format=txt&versions=36,2026-09-02
A0A099ZP27,exclude_non_mhc,,,excluded_non_mhc,InterPro IPR043530 CD74; MHC-II-associated invariant gamma chain,UniProtKB entry 32; annotation 2026-06-10,https://rest.uniprot.org/unisave/A0A099ZP27?format=txt&versions=32,2026-09-02
A0A091Q266,exclude_non_mhc,,,excluded_non_mhc,InterPro IPR043530 CD74; MHC-II-associated invariant gamma chain,UniProtKB entry 34; annotation 2026-06-10,https://rest.uniprot.org/unisave/A0A091Q266?format=txt&versions=34,2026-09-02
A0A093GRK8,exclude_non_mhc,,,excluded_non_mhc,InterPro IPR043530 CD74; MHC-II-associated invariant gamma chain,UniProtKB entry 30; annotation 2025-06-18,https://rest.uniprot.org/unisave/A0A093GRK8?format=txt&versions=30,2026-09-02
A0A093GBE9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 30; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A093GBE9?format=txt&versions=30,2026-09-02
A0A2P4S5W3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A2P4S5W3?format=txt&versions=24,2026-09-02
A0A663MNT8,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A663MNT8?format=txt&versions=24,2026-09-02
A0A669QL82,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A669QL82?format=txt&versions=24,2026-09-02
A0A674G7F5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A674G7F5?format=txt&versions=24,2026-09-02
A0A674HEW3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A674HEW3?format=txt&versions=24,2026-09-02
A0A8B9PVP6,include,II,beta,curated,PTHR19944:SF65;cd21002,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9PVP6?format=txt&versions=19,2026-09-02
A0A8B9QSE9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9QSE9?format=txt&versions=20,2026-09-02
A0A8B9QWI8,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9QWI8?format=txt&versions=16,2026-09-02
